deep,light,rem,wake
68,191,25,60
48,247,44,53
0,0,0,0
64,202,30,66
62,213,32,63
72,241,42,65
77,214,54,50
67,221,63,52
0,0,0,0
54,166,11,36
65,225,38,50
45,241,27,49
0,0,0,0
69,179,52,69
46,194,32,31
24,205,27,59
0,0,0,0
71,298,81,69
0,0,0,0
62,167,65,20
54,206,46,56
57,166,28,42
87,188,87,46
73,121,104,45
49,185,34,28
36,144,17,23
61,162,30,36
67,225,48,57
84,245,40,70
77,268,47,67
67,290,61,45
48,141,41,12
